dataset,variant,fold,score,n_features,time,metric,test_subject
azt1d_s15,aggregate,1,28.62884993856959,11,43.06117606163025,rmse,
azt1d_s15,pattern,1,29.06061632160133,13,59.670488119125366,rmse,
azt1d_s15,decision_tree,1,30.30961117488391,16,27.07143187522888,rmse,
azt1d_s15,n_trials_1000,1,33.096583105997986,10,136.83621311187744,rmse,
azt1d_s15,raw_only,1,33.83863848027588,11,41.8321738243103,rmse,
azt1d_s15,nsga2,1,34.93726891247568,12,42.46902513504028,rmse,
azt1d_s15,parallel,1,34.05416551937944,12,9.04928994178772,rmse,
azt1d_s16,resampling,1,26.523560281901283,8,25.375707149505615,rmse,
azt1d_s16,aggregate,1,25.22128129224654,11,38.597915172576904,rmse,
azt1d_s16,pattern,1,26.81714275483004,15,63.83079695701599,rmse,
azt1d_s16,decision_tree,1,25.41602691543078,12,16.262502908706665,rmse,
azt1d_s16,n_trials_1000,1,25.76298829789163,13,174.09968400001526,rmse,
azt1d_s16,raw_only,1,25.98246165631688,13,46.61467909812927,rmse,
azt1d_s16,nsga2,1,25.791249266511763,12,37.2566921710968,rmse,
azt1d_s16,parallel,1,25.84475308423803,12,8.707507848739624,rmse,
azt1d_s17,resampling,1,40.786750229054675,15,58.667731285095215,rmse,
azt1d_s17,aggregate,1,40.65676621685804,9,30.579870223999023,rmse,
azt1d_s17,pattern,1,40.726354619545305,15,65.76273798942566,rmse,
azt1d_s17,decision_tree,1,40.134713567065525,18,31.094018936157227,rmse,
azt1d_s17,n_trials_1000,1,41.9817144570907,9,109.2744209766388,rmse,
azt1d_s17,raw_only,1,41.10296010702228,10,33.604026794433594,rmse,
azt1d_s17,nsga2,1,40.27567618390776,7,18.60946989059448,rmse,
azt1d_s17,parallel,1,40.06025404525331,12,8.804309606552124,rmse,
azt1d_s18,resampling,1,32.97494477594685,12,40.781715869903564,rmse,
azt1d_s18,aggregate,1,32.41073219537852,12,41.09204816818237,rmse,
azt1d_s18,pattern,1,33.50691249856383,18,78.79998588562012,rmse,
azt1d_s18,decision_tree,1,33.05940975415083,12,16.860510110855103,rmse,
azt1d_s18,n_trials_1000,1,33.15759774401191,9,105.3853359222412,rmse,
azt1d_s18,raw_only,1,32.199457577392344,12,40.37299108505249,rmse,
azt1d_s18,nsga2,1,32.27645247393784,14,43.39932918548584,rmse,
azt1d_s18,parallel,1,32.93636431802196,12,8.544760942459106,rmse,
azt1d_s19,resampling,1,26.15232419353957,9,31.160342693328857,rmse,
azt1d_s19,aggregate,1,26.768780484509573,12,44.25233101844787,rmse,
azt1d_s19,pattern,1,26.39588900782992,14,62.16770100593567,rmse,
azt1d_s19,decision_tree,1,27.375993103984257,14,22.754878997802734,rmse,
azt1d_s19,n_trials_1000,1,26.537622808387017,14,199.56308770179749,rmse,
azt1d_s19,raw_only,1,26.22427289543632,11,38.681171894073486,rmse,
azt1d_s19,nsga2,1,26.444767034731356,15,52.524343967437744,rmse,
azt1d_s19,parallel,1,26.258060345608214,12,8.868883848190308,rmse,
azt1d_s20,resampling,1,28.506805890962717,7,22.24205493927002,rmse,
azt1d_s20,aggregate,1,28.45472150347596,12,45.23130679130554,rmse,
azt1d_s20,pattern,1,28.481026939035633,11,45.9681761264801,rmse,
azt1d_s20,decision_tree,1,28.56872145181045,17,29.09099578857422,rmse,
azt1d_s20,n_trials_1000,1,28.378389610594603,17,256.49639105796814,rmse,
azt1d_s20,raw_only,1,28.579281082428807,13,48.94401812553406,rmse,
